latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
44.90291,-66.9915,315.5,0.39,0.36,2020-10-26,0630,1,nominal,2.0NRT,273.3,1.3,N
42.68855,-111.59755,336.6,0.7,0.75,2020-10-26,0812,1,nominal,2.0NRT,259.9,8.2,N
51.59706,-102.96707,328.2,0.61,0.53,2020-10-26,0806,1,nominal,2.0NRT,260.1,4.1,N
50.56123,-103.57295,325.1,0.63,0.54,2020-10-26,0806,1,nominal,2.0NRT,258.8,3.5,N
48.92551,-97.72356,325.1,0.52,0.41,2020-10-26,0806,1,nominal,2.0NRT,264.7,7.2,N
43.32669,-123.84064,343.4,0.48,0.4,2020-10-26,0954,1,nominal,2.0NRT,278.5,11.3,N
43.32412,-123.84175,295.3,0.48,0.4,2020-10-26,0954,1,nominal,2.0NRT,273.5,0.7,N
42.00772,-123.37976,311.2,0.45,0.39,2020-10-26,0954,1,nominal,2.0NRT,277.1,2.1,N
41.99012,-123.38432,298,0.45,0.39,2020-10-26,0954,1,nominal,2.0NRT,274.3,0.7,N
41.13584,-123.23607,295.5,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,275.9,0.7,N
41.12714,-123.25225,307.4,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,275.2,1.5,N
41.12651,-123.24729,307.3,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,277.3,1.5,N
41.1259,-123.24245,319.1,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,278.4,2.9,N
41.10357,-123.23586,298,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,273.3,1.2,N
41.09774,-123.24632,343.3,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,275.3,6.6,N
41.07977,-123.41955,304.3,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,276,0.9,N
41.03059,-123.28669,321.1,0.44,0.38,2020-10-26,0954,1,nominal,2.0NRT,278.7,2.6,N
57.04248,-111.619,295.2,0.39,0.36,2020-10-26,0948,1,nominal,2.0NRT,272.6,0.7,N
57.04136,-111.63315,296.4,0.39,0.36,2020-10-26,0948,1,nominal,2.0NRT,271.3,1.2,N
50.24378,-102.68781,325.6,0.33,0.55,2020-10-26,0948,1,nominal,2.0NRT,254.6,1.8,N
48.11374,-102.88642,301.1,0.37,0.58,2020-10-26,0948,1,nominal,2.0NRT,260.7,1.1,N
47.75016,-102.7831,321.7,0.39,0.59,2020-10-26,0948,1,nominal,2.0NRT,258.2,3.8,N
47.70742,-102.66217,329.2,0.39,0.6,2020-10-26,0948,1,nominal,2.0NRT,259,1.7,N
47.74864,-102.78603,330.5,0.39,0.59,2020-10-26,0948,1,nominal,2.0NRT,259,2.1,N
47.70501,-102.65965,327.8,0.39,0.6,2020-10-26,0948,1,nominal,2.0NRT,260.5,3.4,N
45.80217,-120.16371,300.7,0.4,0.37,2020-10-26,0948,1,nominal,2.0NRT,264.6,1.2,N
42.6887,-111.5905,332.1,0.43,0.46,2020-10-26,0948,1,nominal,2.0NRT,264.1,3.7,N
42.68466,-111.59211,338.5,0.43,0.46,2020-10-26,0948,1,nominal,2.0NRT,266.8,15.1,N
44.19682,-123.51665,297.7,0.48,0.4,2020-10-26,0948,1,nominal,2.0NRT,269.5,0.3,N
41.13028,-108.6436,324.7,0.32,0.55,2020-10-26,0948,1,nominal,2.0NRT,254.4,1.8,N
50.13557,-99.59861,326.4,0.63,0.72,2020-10-26,1754,1,nominal,2.0NRT,269.3,6.8,D
50.13351,-99.6005,342.4,0.63,0.72,2020-10-26,1754,1,nominal,2.0NRT,270.5,5.4,D
50.54121,-98.98569,330.6,0.58,0.7,2020-10-26,1754,1,nominal,2.0NRT,272.7,7.8,D
51.18822,-99.0554,328.1,0.55,0.68,2020-10-26,1754,1,nominal,2.0NRT,273,3.8,D
41.88186,-110.08778,338.2,0.51,0.49,2020-10-26,1936,1,nominal,2.0NRT,277.5,8.8,D
41.48202,-112.2919,326,0.33,0.56,2020-10-26,1936,1,nominal,2.0NRT,279.4,3.1,D
41.48101,-112.29569,335,0.34,0.56,2020-10-26,1936,1,nominal,2.0NRT,281.1,7.8,D
47.6452,-98.00157,327.5,0.48,0.4,2020-10-26,1936,1,nominal,2.0NRT,273.8,6,D
48.6318,-93.45039,336.2,0.5,0.49,2020-10-26,1936,1,nominal,2.0NRT,271,5.5,D
48.6722,-93.6829,338.7,0.49,0.48,2020-10-26,1936,1,nominal,2.0NRT,271.9,8.2,D
44.58599,-118.87612,339,0.56,0.68,2020-10-26,1936,1,nominal,2.0NRT,272.5,7.3,D
44.5842,-118.87584,342.2,0.56,0.68,2020-10-26,1936,1,nominal,2.0NRT,272.9,6.9,D
46.68159,-116.29775,343.9,0.37,0.58,2020-10-26,1936,1,nominal,2.0NRT,269.9,7.5,D
46.68026,-116.30236,344.3,0.37,0.58,2020-10-26,1936,1,nominal,2.0NRT,268.7,7.5,D
46.67891,-116.30707,325.6,0.37,0.58,2020-10-26,1936,1,nominal,2.0NRT,268.2,5.3,D
46.68285,-116.29338,356.3,0.37,0.58,2020-10-26,1936,1,low,2.0NRT,272.9,18,D
47.04414,-116.50275,352,0.36,0.58,2020-10-26,1936,1,nominal,2.0NRT,271.5,10.7,D
47.04565,-116.49757,356.2,0.36,0.58,2020-10-26,1936,1,low,2.0NRT,270.6,10.7,D
46.42168,-119.23843,329,0.5,0.66,2020-10-26,1936,1,nominal,2.0NRT,278.2,4.5,D
50.93315,-99.35172,334.3,0.47,0.39,2020-10-26,1936,1,nominal,2.0NRT,275.5,22.8,D
50.93675,-99.35271,347.1,0.47,0.39,2020-10-26,1936,1,nominal,2.0NRT,288,22.8,D
50.94035,-99.35368,339.9,0.47,0.39,2020-10-26,1936,1,nominal,2.0NRT,282.4,30,D
