latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.232,-91.059,312,2.5,1.5,2020-10-20,0340,T,84,6.0NRT,292.3,38.5,N
33.016,-79.884,302.4,1.3,1.1,2020-10-20,0340,T,49,6.0NRT,290.7,7.5,N
32.764,-82.902,300.4,1,1,2020-10-20,0340,T,27,6.0NRT,288.9,4.8,N
32.285,-87.924,312.7,1.4,1.2,2020-10-20,0340,T,86,6.0NRT,290.3,20.3,N
34.639,-87.083,307.3,1.2,1.1,2020-10-20,0340,T,71,6.0NRT,289.5,10.9,N
29.509,-108.335,307.3,1,1,2020-10-20,0520,T,71,6.0NRT,286,10.5,N
30.493,-109.628,347,1.1,1,2020-10-20,0520,T,100,6.0NRT,288.3,65,N
30.491,-109.639,303.1,1.1,1,2020-10-20,0520,T,53,6.0NRT,287,7.8,N
33.548,-109.166,306.3,1,1,2020-10-20,0520,T,68,6.0NRT,285.5,9.5,N
33.546,-109.177,328.3,1,1,2020-10-20,0520,T,100,6.0NRT,287.8,29.6,N
33.555,-109.179,301.7,1,1,2020-10-20,0520,T,41,6.0NRT,283.4,6.7,N
33.591,-109.06,304.8,1,1,2020-10-20,0520,T,44,6.0NRT,284.3,8.2,N
33.6,-109.062,313.6,1,1,2020-10-20,0520,T,87,6.0NRT,284.5,14.3,N
33.597,-109.083,301,1,1,2020-10-20,0520,T,28,6.0NRT,284.8,6.4,N
34.256,-112.387,302.8,1.3,1.1,2020-10-20,0520,T,14,6.0NRT,286,8.9,N
34.258,-112.379,302.2,1.3,1.1,2020-10-20,0520,T,23,6.0NRT,286,8.3,N
37.811,-107.758,332.8,1.1,1,2020-10-20,0520,T,100,6.0NRT,280.3,39.7,N
37.809,-107.769,319.2,1.1,1,2020-10-20,0520,T,66,6.0NRT,281.4,22.6,N
37.818,-107.753,303.8,1.1,1,2020-10-20,0520,T,57,6.0NRT,274.9,11.2,N
37.817,-107.766,302.6,1.1,1,2020-10-20,0520,T,50,6.0NRT,275.1,11.2,N
37.815,-107.777,308.4,1.1,1,2020-10-20,0520,T,74,6.0NRT,277.9,14.6,N
36.348,-118.432,307.8,2.6,1.5,2020-10-20,0520,T,73,6.0NRT,281.9,46.7,N
37.372,-119.025,310.1,2.7,1.6,2020-10-20,0520,T,68,6.0NRT,282.8,50,N
37.386,-119.029,301.3,2.7,1.6,2020-10-20,0520,T,30,6.0NRT,281.3,29.3,N
