aes,wmo,REP_DATE,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,sog,ffmc,dmc,dc,bui,isi,fwi,dsr,opts,calcstatus,Station,Distance,name,lon,lat,elev,ACQ_DATE,ATTK_DATE,CAUSE,CFS_ECOZ,CFS_NOTE1,CFS_NOTE2,CFS_REF_ID,DECADE,ECODISTRIC,ECOREGION,ECOZONE,FIRENAME,FIRE_ID,FIRE_TYPE,LATITUDE,LONGITUDE,MORE_INFO,OUT_DATE,PROTZONE,SIZE_HA,SRC_AGENCY,SRC_AGY2,fire_label,Month,Year
8200774,71415,5/5/19,8.6,5.3,80,19,21.2,291,1012.9,22.8,0.82,0,0,75.5,0.7,23.6,1.3,2.1,0.6,0,                    IDW=R:M=1:          ,1,CWBK,20.76497272,CARIBOU+POINT+AUT,-62.683,45.767,2,6/14/20,,L,7, , ,NS-2019-12-004-2019,2010-2019,504,122,7, ,12-004-2019, ,45.73471429,-63.10999783, ,, ,0.1,NS,NS,1,5,2019
8200774,71415,5/7/19,10.1,3.7,64,16.6,20.7,80,1017,22.8,0.09,1,0,80.9,1.9,31.4,3.3,2.9,1.2,0,                    IDW=R:M=1:          ,1,CWBK,9.124881757,CARIBOU+POINT+AUT,-62.683,45.767,2,6/14/20,,,7, , ,NS-2019-12-007-2019,2010-2019,504,122,7, ,12-007-2019, ,45.6377678,-62.64375912, ,, ,1.5,NS,NS,1,5,2019
2100LRP,71966,5/8/19,16.5,-0.6,31,10.8,19.3,126,1011.3,32.2,0,3,0,90.6,24,108.5,30.9,8.1,14.9,3.2,                          M=1:          ,1,CWON,18.84854886,DAWSON,-139.133,64.067,370,5/12/20,,L,12, , ,YT-2019-2019DA006,2010-2019,881,172,12, ,2019DA006, ,63.87138333,-138.70255,Minnie Creek,,Stratigic FMZ,0.01,YT,YT,1,5,2019
3075040,71068,5/9/19,21,-1,22.9,37,48.2,340,1013.7,24.1,0,1,0,92.6,53.1,342.5,76.5,39.9,66.9,46.3,                          M=1:          ,1,CYPE,6.703398925,PEACE+RIVER+A,-117.45,56.233,571,6/1/20,,,9, , ,AB-2019-PCU001,2010-2019,588,138,9, ,PCU001,Mutual Aid,56.233783,-117.27605, ,, ,3.31,AB,AB,1,5,2019
8205895,71308,5/10/19,6.3,2.2,75,11.6,16.6,4,1025.9,15.6,0.02,1,0,74.5,3.6,42.8,6,1.3,0.6,0,                    IDW=R:M=1:          ,1,CXTD,29.94638771,TRACADIE,-61.683,45.617,67,6/14/20,,,7, , ,NS-2019-12-006-2019,2010-2019,531,128,7, ,12-006-2019, ,45.39448545,-62.21230381, ,, ,0.2,NS,NS,1,5,2019
3075770,71547,5/11/19,22,1.5,26,19.1,20.18641026,244,1006.39,40.1,0,4,0,91.9,13.1,21.4,12.9,14.6,15.4,3.4,                          M=1:          ,1,CPSW,6.776265141,SAVANNA+AGCM,-119.35,56.083,703,6/1/20,,,9, , ,AB-2019-GCU001,2010-2019,594,138,9, ,GCU001,Mutual Aid,56.01755,-119.2198, ,, ,373.4,AB,AB,1,5,2019
1192948,71594,5/11/19,21.4,2.8,29,6.8,13.5,40,1002.2,48.3,0,2,0,91.7,35.3,91.4,35.9,7.8,15.6,3.5,                          M=1:          ,1,CVFN,82.61132592,FORT+NELSON,-122.567,58.833,380,5/5/20,,L,4, , ,BC-2019-2019-G90235,2010-2019,244,64,4, ,2019-G90235,Fire,58.5378,-120.3458, ,, ,0.2,BC,BC,1,5,2019
3076680,71277,5/11/19,22.2,1.9,26,18.5,20.18641026,153,1008.04,29.7,0,2,0,92.1,14.4,21.4,14.2,14.7,16,3.7,                          M=1:          ,1,CXVW,45.39638785,VALLEYVIEW+AGDM,-117.2,55.1,698,6/1/20,,L,9, , ,AB-2019-WWF016,2010-2019,618,145,9, ,WWF016,Wildfire,54.474758,-117.5452, ,, ,0.4,AB,AB,1,5,2019
3074190,71229,5/11/19,25.1,1.2,21,33.2,20.18641026,162,1006.66,31.5,0.2,0,0,93.9,64.1,340.5,87.1,39.8,70.8,51.1,                          M=1:          ,1,CXMG,19.89719428,MANNING+AGDM,-117.45,56.967,457,6/1/20,,,9, , ,AB-2019-PWF052,2010-2019,584,137,9, ,PWF052,Wildfire,57.087417,-117.928833, ,, ,55179,AB,AB,1,5,2019
4060983,71077,5/12/19,22.5,4,30,9.2,18,226,999.1,24.1,0,5,0,87.7,11.2,42,13.4,4.9,6.3,0.7,                          M=1:          ,1,CWVT,44.9020791,BUFFALO+NARROWS+AUT,-108.417,55.833,440,4/3/20,,L,9, , ,SK-2019-19LX-PAWR1,2010-2019,645,139,9,19LX-PAWR1,19LX-PAWR1,Wildfire,55.201467,-108.681133, ,5/21/19 0:00, ,198,SK,SK,1,5,2019
3060330,71271,5/12/19,20.5,-7.9,14,26.8,20.18641026,286,1002.23,18.1,0.3,0,0,94.7,41.3,66.9,41.1,32.1,44.4,22.4,                          M=1:          ,1,CPAF,7.402495127,ATHABASCA+AGCM,-113.383,54.633,635,6/1/20,,,9, , ,AB-2019-LCU001,2010-2019,678,149,9, ,LCU001,Mutual Aid,54.641888,-113.199137, ,, ,5,AB,AB,1,5,2019
3073140,71066,5/12/19,15.4,-2.8,28,22.3,20.18641026,270,1004.5,16.1,0.5,0,0,91.2,19.2,129.4,28,15.8,23.1,7.1,                          M=1:          ,1,CYOJ,39.61350507,HIGH+LEVEL+A,-117.167,58.617,338,6/1/20,,L,4, , ,AB-2019-HWF041,2010-2019,244,64,4, ,HWF041,Wildfire,59.184945,-117.303374, ,, ,79,AB,AB,1,5,2019
3073140,71066,5/12/19,15.4,-2.8,28,22.3,20.18641026,270,1004.5,16.1,0.5,0,0,91.2,19.2,129.4,28,15.8,23.1,7.1,                          M=1:          ,1,CYOJ,23.27957784,HIGH+LEVEL+A,-117.167,58.617,338,6/1/20,,,9, , ,AB-2019-HWF042,2010-2019,586,138,9, ,HWF042,Wildfire,58.285283,-117.273167, ,, ,350134.89,AB,AB,1,5,2019
3075040,71068,5/12/19,15,0,36.1,13,13,280,1006.7,24.1,0.01,4,0,91.4,63.4,359.6,88,10.1,29.7,11,                          M=1:          ,1,CYPE,16.31541152,PEACE+RIVER+A,-117.45,56.233,571,6/1/20,,L,9, , ,AB-2019-PWF053,2010-2019,592,138,9, ,PWF053,Wildfire,56.26305,-117.0299, ,, ,0.1,AB,AB,1,5,2019
3073071,71507,5/12/19,16.2,-6.6,20,35.1,20.18641026,298,1006.13,30.9,0,9,0,93.6,22.5,32.5,22.2,41.5,40.2,18.8,                          M=1:          ,1,CPHW,19.39958676,HAWK+HILLS+AGCM,-117.3,57.267,455,6/1/20,,L,9, , ,AB-2019-PWF054,2010-2019,584,137,9, ,PWF054,Wildfire,57.182698,-117.792933, ,, ,74.23,AB,AB,1,5,2019
1192948,71594,5/12/19,11.7,-3.3,35,19.7,35.1,330,1009.2,48.3,0,3,0,90.7,37.4,95.9,37.9,12.9,23.1,7.1,                          M=1:          ,1,CVFN,86.84039896,FORT+NELSON,-122.567,58.833,380,5/5/20,,L,4, , ,BC-2019-2019-G80251,2010-2019,244,64,4, ,2019-G80251,Fire,58.1838,-120.5152, ,, ,17,BC,BC,1,5,2019
1192948,71594,5/12/19,11.7,-3.3,35,19.7,35.1,330,1009.2,48.3,0,3,0,90.7,37.4,95.9,37.9,12.9,23.1,7.1,                          M=1:          ,1,CVFN,63.12371702,FORT+NELSON,-122.567,58.833,380,5/5/20,,L,4, , ,BC-2019-2019-G80266,2010-2019,244,64,4, ,2019-G80266,Fire,58.2116,-121.2908, ,, ,0.2,BC,BC,1,5,2019
1192948,71594,5/12/19,11.7,-3.3,35,19.7,35.1,330,1009.2,48.3,0,3,0,90.7,37.4,95.9,37.9,12.9,23.1,7.1,                          M=1:          ,1,CVFN,62.33772717,FORT+NELSON,-122.567,58.833,380,5/5/20,,L,4, , ,BC-2019-2019-G80248,2010-2019,244,64,4, ,2019-G80248,Fire,58.2006,-121.3412, ,, ,0.75,BC,BC,1,5,2019
3075488,71246,5/14/19,12,-0.4,42,6.7,13.4,24,1017.1,24.3,1.8,0,0,76.7,42.3,119.8,44.9,1.2,3.2,0.2,                          M=1:          ,1,CWRD,25.77717599,RED+EARTH,-115.283,56.55,546,6/1/20,,,9, , ,AB-2019-SWF035,2010-2019,607,142,9, ,SWF035,Wildfire,56.38225,-115.883933, ,, ,0.2,AB,AB,1,5,2019
1192948,71594,5/14/19,13.4,-1.3,36,5.2,11.8,68,1017.9,48.3,0.3,0,0,88.8,41.3,105,41.6,4.7,11.3,2,                          M=1:          ,1,CVFN,94.31112778,FORT+NELSON,-122.567,58.833,380,5/5/20,,L,4, , ,BC-2019-2019-G90283,2010-2019,244,64,4, ,2019-G90283,Fire,58.3403,-120.1338, ,, ,28.2,BC,BC,1,5,2019
