aes,wmo,REP_DATE,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,sog,ffmc,dmc,dc,bui,isi,fwi,dsr,opts,calcstatus,Station,Distance,name,lon,lat,elev,ACQ_DATE,ATTK_DATE,CAUSE,CFS_ECOZ,CFS_NOTE1,CFS_NOTE2,CFS_REF_ID,DECADE,ECODISTRIC,ECOREGION,ECOZONE,FIRENAME,FIRE_ID,FIRE_TYPE,LATITUDE,LONGITUDE,MORE_INFO,OUT_DATE,PROTZONE,SIZE_HA,SRC_AGENCY,SRC_AGY2,fire_label,Month,Year
4060983,71077,5/16/19,7,-5,42,12.3,15.7,50,1024.7,24.1,0,2,0,86.6,16.2,58.2,19.1,4.9,7.6,1,                          M=1:          ,1,CWVT,56.72749026,BUFFALO+NARROWS+AUT,-108.417,55.833,440,4/3/20,,L,, , ,SK-2019-19BN-GUS,2010-2019,351,88,6,19BN-GUS,19BN-GUS,Wildfire,56.643167,-108.190667, ,5/23/19 0:00, ,0.5,SK,SK,1,5,2019
4060983,71077,5/17/19,12.2,-4.1,32,14.3,18.1,28,1022.8,24.1,0,3,0,88.7,18.4,62.8,21.3,7.3,11.3,2,                          M=1:          ,1,CWVT,24.42480355,BUFFALO+NARROWS+AUT,-108.417,55.833,440,4/3/20,,L,9, , ,SK-2019-19LX-AUBICHON,2010-2019,640,139,9,19LX-AUBICHON,19LX-AUBICHON,Wildfire,55.55645,-108.028417, ,5/27/19 0:00, ,70.5,SK,SK,1,5,2019
3065995,71369,5/18/19,16,-1,31.5,38.9,63,120,1017.8,14.5,0,3,0,90.1,30.8,251.5,47.2,31.1,46.2,24.1,                          M=1:          ,1,CYZH,32.37774224,SLAVE+LAKE,-114.783,55.3,583,6/1/20,,,9, , ,AB-2019-SWF049,2010-2019,613,139,9, ,SWF049,Wildfire,55.716367,-114.40635, ,, ,273045,AB,AB,1,5,2019
3016860,71062,5/18/19,10,0.3,51,30.8,49.4,142,1017.7,20.6,0,2,0,83.4,13.4,49.1,15.9,8,10.5,1.7,                    IDW=R:M=1:          ,1,CXVG,14.54326144,VIOLET+GROVE+CS,-115.133,53.15,914,6/1/20,,,9, , ,AB-2019-RCU001,2010-2019,623,145,9, ,RCU001,Mutual Aid,53.001795,-114.885217, ,, ,0.01,AB,AB,1,5,2019
3062660,71483,5/18/19,15.4,-0.5,34,28.4,20.18641026,136,1018.29,19.4,0,2,0,88.2,14.6,29.1,14.5,13.8,15.5,3.5,                          M=1:          ,1,CPFB,16.78070859,FORT+ASSINIBOINE+AGCM,-114.767,54.417,676,6/1/20,,,9, , ,AB-2019-WCU001,2010-2019,681,149,9, ,WCU001,Mutual Aid,54.4099,-114.351217, ,, ,0.01,AB,AB,1,5,2019
3064528,71255,5/19/19,19.3,-5.2,19,20.7,30.4,163,1021.8,15.2,0.3,0,0,93.5,34.2,96.6,36.3,19.9,30.6,11.6,                          M=1:          ,1,CWMX,18.50872824,MILDRED+LAKE,-111.567,57.033,310,6/1/20,,L,9, , ,AB-2019-MWF012,2010-2019,632,139,9, ,MWF012,Wildfire,57.28184,-111.386483, ,, ,10.6,AB,AB,1,5,2019
3061975,71340,5/20/19,17.3,-2.3,26,32.8,20.18641026,135,1015.16,18.8,0.4,0,0,92.1,24.2,52.2,24.1,30,33.5,13.6,                          M=1:          ,1,CXDP,11.80831664,DAPP+AGDM,-113.95,54.317,614,6/1/20,,,9, , ,AB-2019-LCU002,2010-2019,681,149,9, ,LCU002,Mutual Aid,54.335217,-114.240417, ,, ,0.01,AB,AB,1,5,2019
1192948,71594,5/20/19,20.7,3.3,32,8.5,17.2,131,1009.7,48.3,0.1,0,0,90.7,58.5,136.5,58.4,7.3,19.1,5.1,                          M=1:          ,1,CVFN,88.77637237,FORT+NELSON,-122.567,58.833,380,5/5/20,,L,4, , ,BC-2019-2019-G80321,2010-2019,244,64,4, ,2019-G80321,Fire,58.2048,-120.4293, ,, ,650,BC,BC,1,5,2019
4063623,71023,5/22/19,21,0,24.7,5.6,5.6,160,1018.8,14.5,0.5,0,0,92.3,64,301.2,83.6,7.9,24.5,7.8,                          M=1:          ,1,CWHN,47.81618194,JIMMY+LAKE+AWOS,-109.967,54.917,637,6/1/20,,,9, , ,AB-2019-LWF109,2010-2019,644,139,9, ,LWF109,Wildfire,55.195067,-111.069467, ,, ,0.73,AB,AB,1,5,2019
4063623,71023,5/22/19,21,0,24.7,5.6,5.6,160,1018.8,14.5,0.5,0,0,92.3,64,301.2,83.6,7.9,24.5,7.8,                          M=1:          ,1,CWHN,20.46205956,JIMMY+LAKE+AWOS,-109.967,54.917,637,6/1/20,,,9, , ,AB-2019-LWF110,2010-2019,644,139,9, ,LWF110,Wildfire,55.195998,-110.138232, ,, ,2.9,AB,AB,1,5,2019
