lat,lng,reportDate,startDate,endDate,peakDate,duration,maxSize,aveSize,increaseSpreadRate,decreaseSpreadRate,movementDirection,movementDirectionNum,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,ffmc,dmc,dc,bui,isi,fwi,dsr
54.641888,-113.199137,Sun May 12 00:00:00 EDT 2019,Fri May 10 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,Sat May 11 00:00:00 EDT 2019,2,1.3199999999999874,1.0799999999999232,NaN,NaN,NW,0,20.5,-7.9,14.0,26.8,20.18641026,286,1002.23,18.1,0.3,0,94.7,41.3,66.9,41.1,32.1,44.4,22.4
58.1838,-120.5152,Sun May 12 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,Tue May 14 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,2,8.264168163597901,4.682084081798948,NaN,-0.8668952545223745,SE,3,11.7,-3.3,35.0,19.7,35.1,330,1009.2,48.3,0.0,3,90.7,37.4,95.9,37.9,12.9,23.1,7.1
58.2116,-121.2908,Sun May 12 00:00:00 EDT 2019,Fri May 10 00:00:00 EDT 2019,Tue May 14 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,4,8.264168163597901,3.3563547016228323,0.19378756652096665,-0.8668952545223745,SE,3,11.7,-3.3,35.0,19.7,35.1,330,1009.2,48.3,0.0,3,90.7,37.4,95.9,37.9,12.9,23.1,7.1
58.2006,-121.3412,Sun May 12 00:00:00 EDT 2019,Fri May 10 00:00:00 EDT 2019,Tue May 14 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,4,8.264168163597901,3.3563547016228323,0.19378756652096665,-0.8668952545223745,SE,3,11.7,-3.3,35.0,19.7,35.1,330,1009.2,48.3,0.0,3,90.7,37.4,95.9,37.9,12.9,23.1,7.1
58.3403,-120.1338,Tue May 14 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,Tue May 14 00:00:00 EDT 2019,Sun May 12 00:00:00 EDT 2019,2,8.264168163597901,4.682084081798948,NaN,-0.8668952545223745,SE,3,13.4,-1.3,36.0,5.2,11.8,68,1017.9,48.3,0.3,0,88.8,41.3,105.0,41.6,4.7,11.3,2.0
55.55645,-108.028417,Fri May 17 00:00:00 EDT 2019,Fri May 17 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,Mon May 20 00:00:00 EDT 2019,4,3.5697565765318147,2.126555001993142,0.2773199652688756,NaN,NW,0,12.2,-4.1,32.0,14.3,18.1,28,1022.8,24.1,0.0,3,88.7,18.4,62.8,21.3,7.3,11.3,2.0
55.716367,-114.40635,Sat May 18 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,46.22275621084664,2.5939990871541836,-0.13278754006086432,NW,0,16.0,-1.0,31.5,38.9,63.0,120,1017.8,14.5,0.0,3,90.1,30.8,251.5,47.2,31.1,46.2,24.1
53.001795,-114.885217,Sat May 18 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Mon May 20 00:00:00 EDT 2019,Sun May 19 00:00:00 EDT 2019,2,4.367823818976316,2.433911909488158,NaN,NaN,SE,3,10.0,0.3,51.0,30.8,49.4,142,1017.7,20.6,0.0,2,83.4,13.4,49.1,15.9,8.0,10.5,1.7
54.4099,-114.351217,Sat May 18 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,46.09620904557759,4.40723303854672,-0.13278754006086432,NE,1,15.4,-0.5,34.0,28.4,20.18641026,136,1018.29,19.4,0.0,2,88.2,14.6,29.1,14.5,13.8,15.5,3.5
57.28184,-111.386483,Sun May 19 00:00:00 EDT 2019,Sun May 19 00:00:00 EDT 2019,Wed May 22 00:00:00 EDT 2019,Sun May 19 00:00:00 EDT 2019,3,2.0111557706361687,1.31286957599957,NaN,-0.426303298622995,NE,1,19.3,-5.2,19.0,20.7,30.4,163,1021.8,15.2,0.3,0,93.5,34.2,96.6,36.3,19.9,30.6,11.6
54.335217,-114.240417,Mon May 20 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,46.09620904557759,4.40723303854672,-0.13278754006086432,NE,1,17.3,-2.3,26.0,32.8,20.18641026,135,1015.16,18.8,0.4,0,92.1,24.2,52.2,24.1,30.0,33.5,13.6
58.2048,-120.4293,Mon May 20 00:00:00 EDT 2019,Mon May 20 00:00:00 EDT 2019,Wed May 22 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,2,1.3421282453104473,1.1710641226552236,NaN,NaN,NW,0,20.7,3.3,32.0,8.5,17.2,131,1009.7,48.3,0.1,0,90.7,58.5,136.5,58.4,7.3,19.1,5.1
55.195067,-111.069467,Wed May 22 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,Wed May 22 00:00:00 EDT 2019,Tue May 21 00:00:00 EDT 2019,1,0.6549166569052303,0.6549166569052303,NaN,NaN,SE,3,21.0,0.0,24.7,5.6,5.6,160,1018.8,14.5,0.5,0,92.3,64.0,301.2,83.6,7.9,24.5,7.8
55.195998,-110.138232,Wed May 22 00:00:00 EDT 2019,Fri May 17 00:00:00 EDT 2019,Wed May 22 00:00:00 EDT 2019,Mon May 20 00:00:00 EDT 2019,5,2.4457325228840627,1.2354703145479065,1.4532059750509085,-0.7322206534126888,NW,0,21.0,0.0,24.7,5.6,5.6,160,1018.8,14.5,0.5,0,92.3,64.0,301.2,83.6,7.9,24.5,7.8
55.78175,-119.363483,Thu May 23 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sat May 25 00:00:00 EDT 2019,Mon May 20 00:00:00 EDT 2019,7,297.02846264953627,107.50436223492635,0.8573589831994402,15.267463525513062,NW,0,18.4,4.9,41.0,7.1,20.18641026,221,1016.5,21.7,0.6,0,89.1,30.9,71.5,30.9,5.4,10.7,1.8
63.05328333,-139.20955,Thu May 23 00:00:00 EDT 2019,Thu May 23 00:00:00 EDT 2019,Fri May 24 00:00:00 EDT 2019,Thu May 23 00:00:00 EDT 2019,1,3.31237496792515,3.31237496792515,NaN,NaN,SW,2,21.0,3.5,31.0,13.0,19.3,42,1011.0,32.2,0.8,0,90.0,66.4,186.9,70.4,8.3,23.2,7.1
